Input, Angle, DeltaT
-4.71,3664.08,10147
-4.71,3505.63,10169
-4.71,3328.17,10190
-4.71,3145.77,10213
-4.71,2953.52,10234
-4.71,2766.20,10256
-4.71,2576.06,10278
-4.71,2376.06,10300
-4.71,2182.39,10321
-4.71,1990.85,10344
-4.71,1797.89,10365
-4.71,1600.00,10387
-4.71,1409.16,10409
-4.71,1222.54,10431
-4.71,1027.46,10452
-4.71,832.39,10475
-4.71,647.89,10496
-4.71,464.79,10516
-4.71,276.06,10537
-4.71,92.96,10558
-4.71,-78.17,10577
-4.71,-257.04,10599
0.00,-454.93,10620
0.00,-560.56,10641
0.00,-578.17,10662
0.00,-578.17,10683
0.00,-578.17,10703
0.00,-578.17,10724
0.00,-578.17,10745
0.00,-578.17,10766
0.00,-578.17,10786
0.00,-578.17,10808
0.00,-578.17,10828
0.00,-578.17,10849
0.00,-578.17,10870
0.00,-578.17,10891
0.00,-578.17,10911
0.00,-578.17,10933
0.00,-578.17,10953
0.00,-578.17,10974
0.00,-578.17,10995
0.00,-578.17,11016
0.00,-578.17,11036
0.00,-578.17,11057
0.00,-578.17,11078
0.00,-578.17,11099
0.00,-578.17,11119
5.88,-578.17,11141
5.88,-523.24,11161
5.88,-391.55,11182
5.88,-198.59,11203
5.88,13.38,11224
5.88,211.97,11242
5.88,428.17,11262
5.88,652.11,11282
5.88,866.20,11301
5.88,1082.39,11321
5.88,1320.42,11342
5.88,1550.00,11363
5.88,1775.35,11383
5.88,2004.23,11405
5.88,2225.35,11425
5.88,2440.85,11446
5.88,2660.56,11467
5.88,2873.94,11488
5.88,3082.39,11508
5.88,3294.37,11530
5.88,3505.63,11550
5.88,3711.97,11571
5.88,3921.13,11591
5.88,4138.03,11613
5.88,4346.48,11633
0.00,4550.00,11654
0.00,4678.87,11675
0.00,4702.82,11696
0.00,4702.11,11716
0.00,4702.11,11738
0.00,4702.11,11758
0.00,4702.11,11779
0.00,4702.11,11800
0.00,4702.11,11821
0.00,4702.11,11841
0.00,4702.11,11863
0.00,4702.11,11883
0.00,4702.11,11904
0.00,4702.11,11924
0.00,4702.11,11945
0.00,4702.11,11966
0.00,4702.11,11986
0.00,4702.11,12008
0.00,4702.11,12028
0.00,4702.11,12049
0.00,4702.11,12070
0.00,4702.11,12091
0.00,4702.11,12111
0.00,4702.11,12133
0.00,4702.11,12153
-5.88,4702.11,12174
-5.88,4652.82,12196
-5.88,4507.04,12218
-5.88,4307.75,12239
-5.88,4092.96,12262
-5.88,3870.42,12283
-5.88,3639.44,12305
-5.88,3403.52,12327
-5.88,3163.38,12349
-5.88,2921.83,12370
-5.88,2683.10,12393
-5.88,2441.55,12414
-5.88,2195.77,12436
-5.88,1957.04,12457
-5.88,1711.27,12480
-5.88,1458.45,12502
-5.88,1208.45,12523
-5.88,949.30,12546
-5.88,702.11,12566
-5.88,457.75,12587
-5.88,201.41,12608
-5.88,-45.07,12628
-5.88,-289.44,12649
-5.88,-554.93,12672
0.00,-814.08,12693
0.00,-968.31,12713
0.00,-1022.54,12735
0.00,-1027.46,12756
0.00,-1027.46,12778
0.00,-1027.46,12801
0.00,-1027.46,12822
0.00,-1027.46,12844
0.00,-1027.46,12866
0.00,-1027.46,12888
0.00,-1027.46,12909
0.00,-1027.46,12932
0.00,-1027.46,12953
0.00,-1027.46,12975
0.00,-1027.46,12997
0.00,-1027.46,13019
0.00,-1027.46,13040
0.00,-1027.46,13063
0.00,-1027.46,13084
0.00,-1027.46,13106
0.00,-1027.46,13128
0.00,-1027.46,13150
0.00,-1027.46,13171
7.06,-1027.46,13194
7.06,-970.42,13215
7.06,-821.83,13236
7.06,-617.61,13256
7.06,-369.01,13278
7.06,-88.73,13298
7.06,187.32,13318
7.06,466.90,13338
7.06,747.89,13358
7.06,1027.46,13377
7.06,1330.28,13399
7.06,1626.76,13419
7.06,1923.94,13440
7.06,2221.83,13461
7.06,2514.08,13481
7.06,2809.86,13502
7.06,3101.41,13522
7.06,3390.14,13544
7.06,3676.06,13564
7.06,3954.93,13585
7.06,4242.25,13606
7.06,4523.24,13627
7.06,4802.11,13647
7.06,5080.99,13669
7.06,5354.93,13689
0.00,5631.69,13710
0.00,5796.48,13731
0.00,5811.97,13752
0.00,5811.97,13772
0.00,5811.97,13794
0.00,5811.97,13814
0.00,5811.97,13835
0.00,5811.97,13855
0.00,5811.97,13877
0.00,5811.97,13897
0.00,5811.97,13918
0.00,5811.97,13939
0.00,5811.97,13960
0.00,5811.97,13980
0.00,5811.97,14002
0.00,5811.97,14022
0.00,5811.97,14043
0.00,5811.97,14064
0.00,5811.97,14085
0.00,5811.97,14105
0.00,5811.97,14127
0.00,5811.97,14147
0.00,5811.97,14168
0.00,5811.97,14188
-7.06,5811.97,14210
-7.06,5780.99,14231
-7.06,5674.65,14253
-7.06,5497.89,14275
-7.06,5266.90,14297
-7.06,4992.96,14318
-7.06,4702.82,14341
-7.06,4390.14,14362
-7.06,4072.54,14384
-7.06,3756.34,14406
-7.06,3442.25,14428
-7.06,3130.99,14449
-7.06,2811.97,14472
-7.06,2502.82,14493
-7.06,2191.55,14515
-7.06,1885.92,14537
-7.06,1567.61,14559
-7.06,1261.27,14580
-7.06,950.00,14603
-7.06,656.34,14623
-7.06,362.68,14644
-7.06,71.13,14665
-7.06,-207.04,14685
-7.06,-520.42,14706
0.00,-829.58,14729
0.00,-1025.35,14749
0.00,-1088.03,14771
0.00,-1090.14,14793
0.00,-1090.14,14815
0.00,-1090.14,14836
0.00,-1090.14,14859
0.00,-1090.14,14880
0.00,-1090.14,14902
0.00,-1090.14,14924
0.00,-1090.14,14946
0.00,-1090.14,14967
0.00,-1090.14,14990
0.00,-1090.14,15011
0.00,-1090.14,15033
0.00,-1090.14,15055
0.00,-1090.14,15077
0.00,-1090.14,15098
0.00,-1090.14,15120
0.00,-1090.14,15142
0.00,-1090.14,15164
0.00,-1090.14,15185
0.00,-1090.14,15208
7.53,-1090.14,15229
7.53,-1038.03,15251
7.53,-886.62,15273
7.53,-683.10,15294
7.53,-443.66,15314
7.53,-165.49,15336
7.53,128.17,15356
7.53,408.45,15376
7.53,702.82,15396
7.53,996.48,15416
7.53,1290.85,15435
7.53,1606.34,15457
7.53,1914.08,15477
7.53,2214.08,15498
7.53,2503.52,15518
7.53,2794.37,15540
